SampleId	ClusterId	ChainId	Chromosome	PosStart	PosEnd	LinkPloidy
5FU-PATIENT2-T-CLONE1	23	3	1	T	91853148	0.0172
5FU-PATIENT2-T-CLONE1	23	3	X	C	108297831	0.0172
5FU-PATIENT2-T-CLONE1	24	1	12	C	130343650	0.9481
5FU-PATIENT2-T-CLONE1	24	1	12	130350696	T	0.9481
5FU-PATIENT2-T-CLONE1	25	1	13	C	40928792	0.9715
5FU-PATIENT2-T-CLONE1	25	1	13	40950631	T	0.9715
5FU-PATIENT2-T-CLONE1	26	1	13	C	62898497	0.9811
5FU-PATIENT2-T-CLONE1	26	1	13	63022428	T	0.9811
5FU-PATIENT2-T-CLONE1	27	1	13	C	64598606	0.9899
5FU-PATIENT2-T-CLONE1	27	1	13	64625940	T	0.9899
5FU-PATIENT2-T-CLONE1	28	1	13	C	65899706	0.6030
5FU-PATIENT2-T-CLONE1	28	1	13	65899739	T	0.6030
5FU-PATIENT2-T-CLONE1	29	1	13	C	88515050	0.9618
5FU-PATIENT2-T-CLONE1	29	1	19	56233027	T	0.9618
5FU-PATIENT2-T-CLONE1	29	2	13	88515052	T	1.0232
5FU-PATIENT2-T-CLONE1	29	2	19	C	56233020	1.0232
5FU-PATIENT2-T-CLONE1	30	1	13	C	93588752	1.0785
5FU-PATIENT2-T-CLONE1	30	1	13	93611559	T	1.0785
5FU-PATIENT2-T-CLONE1	31	1	14	50348781	T	1.5253
5FU-PATIENT2-T-CLONE1	31	1	14	C	50348822	1.5253
5FU-PATIENT2-T-CLONE1	32	1	14	C	67068205	0.8499
5FU-PATIENT2-T-CLONE1	32	1	14	67068245	T	0.8499
5FU-PATIENT2-T-CLONE1	33	1	14	C	76509460	1.9412
5FU-PATIENT2-T-CLONE1	33	1	14	76613748	T	1.9412
5FU-PATIENT2-T-CLONE1	34	1	14	99409765	T	1.5135
5FU-PATIENT2-T-CLONE1	34	1	14	C	99409801	1.5135
5FU-PATIENT2-T-CLONE1	35	1	15	C	57257218	1.0224
5FU-PATIENT2-T-CLONE1	35	1	15	57467333	T	1.0224
5FU-PATIENT2-T-CLONE1	36	1	15	C	99304779	1.0130
5FU-PATIENT2-T-CLONE1	36	1	15	99358344	T	1.0130
5FU-PATIENT2-T-CLONE1	37	1	15	C	99559790	0.8285
5FU-PATIENT2-T-CLONE1	37	1	15	99559838	T	0.8285
5FU-PATIENT2-T-CLONE1	38	1	16	3722419	C	1.0665
5FU-PATIENT2-T-CLONE1	38	1	16	T	3722468	1.0665
5FU-PATIENT2-T-CLONE1	39	1	16	T	6361808	1.0061
5FU-PATIENT2-T-CLONE1	39	1	16	6932175	C	1.0061
5FU-PATIENT2-T-CLONE1	40	0	16	T	6402694	1.0126
5FU-PATIENT2-T-CLONE1	40	0	2	198810013	211074882	1.0126
5FU-PATIENT2-T-CLONE1	40	0	2	211075690	211076201	1.0126
5FU-PATIENT2-T-CLONE1	40	0	2	213410996	213446417	1.0126
5FU-PATIENT2-T-CLONE1	40	0	2	C	198805296	1.0126
5FU-PATIENT2-T-CLONE1	41	0	16	15227893	84122482	0.9208
5FU-PATIENT2-T-CLONE1	41	2	16	T	15227893	0.9962
5FU-PATIENT2-T-CLONE1	41	2	16	84122477	T	0.9962
5FU-PATIENT2-T-CLONE1	42	1	16	24196968	C	1.2394
5FU-PATIENT2-T-CLONE1	42	1	16	T	24197047	1.2394
5FU-PATIENT2-T-CLONE1	43	1	16	29329001	C	0.9760
5FU-PATIENT2-T-CLONE1	46	1	16	49689320	T	1.1564
5FU-PATIENT2-T-CLONE1	46	1	16	C	49692478	1.1564
5FU-PATIENT2-T-CLONE1	47	0	16	59276486	T	1.0252
5FU-PATIENT2-T-CLONE1	47	0	16	59625202	59625278	1.0252
5FU-PATIENT2-T-CLONE1	47	0	16	C	59274664	1.0252
5FU-PATIENT2-T-CLONE1	48	1	16	C	63198821	0.9818
5FU-PATIENT2-T-CLONE1	48	1	16	63339836	T	0.9818
5FU-PATIENT2-T-CLONE1	49	1	16	C	72063549	1.1868
5FU-PATIENT2-T-CLONE1	49	1	16	72064094	T	1.1868
5FU-PATIENT2-T-CLONE1	50	1	16	C	78314799	1.0739
5FU-PATIENT2-T-CLONE1	50	1	16	78878532	T	1.0739
5FU-PATIENT2-T-CLONE1	51	1	16	C	87170448	1.0298
5FU-PATIENT2-T-CLONE1	51	1	16	87299093	T	1.0298
5FU-PATIENT2-T-CLONE1	52	1	17	C	26881000	0.0310
5FU-PATIENT2-T-CLONE1	53	1	17	33478150	T	0.5654
5FU-PATIENT2-T-CLONE1	53	1	17	C	33478364	0.5654
5FU-PATIENT2-T-CLONE1	54	1	17	C	49645046	1.0547
5FU-PATIENT2-T-CLONE1	54	1	17	49645097	T	1.0547
5FU-PATIENT2-T-CLONE1	55	1	17	56308299	T	1.0497
5FU-PATIENT2-T-CLONE1	55	1	17	C	56573405	1.0497
5FU-PATIENT2-T-CLONE1	56	1	18	41053141	T	1.1459
5FU-PATIENT2-T-CLONE1	56	1	18	C	41053261	1.1459
5FU-PATIENT2-T-CLONE1	57	1	18	C	63569835	1.0183
5FU-PATIENT2-T-CLONE1	57	1	18	63569919	T	1.0183
5FU-PATIENT2-T-CLONE1	58	1	19	T	5079165	0.6633
5FU-PATIENT2-T-CLONE1	58	1	19	5079199	C	0.6633
5FU-PATIENT2-T-CLONE1	59	1	19	C	47704038	1.0079
5FU-PATIENT2-T-CLONE1	59	1	19	47722508	T	1.0079
5FU-PATIENT2-T-CLONE1	61	1	1	49844153	C	0.8813
5FU-PATIENT2-T-CLONE1	61	1	1	T	49844236	0.8813
5FU-PATIENT2-T-CLONE1	62	1	1	T	98184786	0.6975
5FU-PATIENT2-T-CLONE1	62	1	1	98184826	C	0.6975
5FU-PATIENT2-T-CLONE1	63	1	1	120532001	C	1.0400
5FU-PATIENT2-T-CLONE1	64	1	1	C	144940264	0.6948
5FU-PATIENT2-T-CLONE1	64	1	1	144940379	T	0.6948
5FU-PATIENT2-T-CLONE1	65	1	1	164615280	T	0.9553
5FU-PATIENT2-T-CLONE1	65	1	1	C	164709438	0.9553
5FU-PATIENT2-T-CLONE1	66	1	1	167820891	T	1.1610
5FU-PATIENT2-T-CLONE1	66	1	1	C	167847286	1.1610
5FU-PATIENT2-T-CLONE1	67	1	1	C	175968509	1.0542
5FU-PATIENT2-T-CLONE1	67	1	1	176150938	T	1.0542
5FU-PATIENT2-T-CLONE1	68	1	1	C	189291312	0.9673
5FU-PATIENT2-T-CLONE1	68	1	1	189400945	T	0.9673
5FU-PATIENT2-T-CLONE1	69	1	1	C	189422030	0.9700
5FU-PATIENT2-T-CLONE1	69	1	1	189471307	T	0.9700
5FU-PATIENT2-T-CLONE1	70	1	1	C	216156456	1.0322
5FU-PATIENT2-T-CLONE1	70	1	1	218916452	T	1.0322
5FU-PATIENT2-T-CLONE1	71	1	1	C	217065835	0.9939
5FU-PATIENT2-T-CLONE1	71	1	1	217144941	T	0.9939
5FU-PATIENT2-T-CLONE1	72	1	1	226953832	T	0.8054
5FU-PATIENT2-T-CLONE1	72	1	1	C	226953872	0.8054
5FU-PATIENT2-T-CLONE1	73	1	1	C	247756344	1.1363
5FU-PATIENT2-T-CLONE1	73	1	1	247758097	T	1.1363
5FU-PATIENT2-T-CLONE1	74	1	2	6770330	C	1.0646
5FU-PATIENT2-T-CLONE1	74	1	2	T	7087254	1.0646
5FU-PATIENT2-T-CLONE1	76	1	2	T	6859357	0.9542
5FU-PATIENT2-T-CLONE1	76	1	2	103559249	T	0.9542
5FU-PATIENT2-T-CLONE1	76	2	2	6859412	C	1.0072
5FU-PATIENT2-T-CLONE1	76	2	2	C	100456260	1.0072
5FU-PATIENT2-T-CLONE1	81	1	2	15436259	C	2.5856
5FU-PATIENT2-T-CLONE1	81	2	2	T	15436271	1.7075
5FU-PATIENT2-T-CLONE1	82	0	2	89271743	C	0.9802
5FU-PATIENT2-T-CLONE1	82	0	2	83068204	88565551	0.9802
5FU-PATIENT2-T-CLONE1	82	0	2	T	22742239	0.9802
5FU-PATIENT2-T-CLONE1	82	1	2	T	31594387	0.9802
5FU-PATIENT2-T-CLONE1	82	1	2	23902881	89271118	0.9802
5FU-PATIENT2-T-CLONE1	83	1	2	23330177	C	1.1386
5FU-PATIENT2-T-CLONE1	83	1	2	T	23330214	1.1386
5FU-PATIENT2-T-CLONE1	85	1	2	30152045	C	1.4635
5FU-PATIENT2-T-CLONE1	85	1	2	T	30152079	1.4635
5FU-PATIENT2-T-CLONE1	86	1	2	T	33448082	1.0331
5FU-PATIENT2-T-CLONE1	86	1	2	33512858	C	1.0331
5FU-PATIENT2-T-CLONE1	87	1	2	T	34143376	0.9962
5FU-PATIENT2-T-CLONE1	87	1	2	34145581	C	0.9962
5FU-PATIENT2-T-CLONE1	90	1	2	T	39844815	0.9582
5FU-PATIENT2-T-CLONE1	90	1	2	39890550	C	0.9582
5FU-PATIENT2-T-CLONE1	92	0	2	52830907	54137805	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	13910658	14783027	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	9434434	13167817	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	43445371	50157553	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	50148541	50159209	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	58200084	58203532	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	77358216	77379831	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	38326914	40329555	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	68928021	73839821	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	74412585	74863397	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	20203044	38891477	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	6847803	9170428	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	15457326	19405300	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	14787887	14795022	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	6848549	6848948	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	6802263	9170428	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	20203044	61914825	0.9735
5FU-PATIENT2-T-CLONE1	92	0	2	60046354	C	0.9735
5FU-PATIENT2-T-CLONE1	94	1	2	T	55651964	1.0444
5FU-PATIENT2-T-CLONE1	94	1	2	55931330	C	1.0444
5FU-PATIENT2-T-CLONE1	95	1	2	57766088	C	0.9349
5FU-PATIENT2-T-CLONE1	95	1	2	T	57775048	0.9349
5FU-PATIENT2-T-CLONE1	97	1	2	64322673	C	0.7170
5FU-PATIENT2-T-CLONE1	97	1	2	T	64322718	0.7170
5FU-PATIENT2-T-CLONE1	98	0	2	65942420	C	0.9381
5FU-PATIENT2-T-CLONE1	98	0	2	65942218	65942365	0.9381
5FU-PATIENT2-T-CLONE1	98	0	2	T	65942225	0.9381
5FU-PATIENT2-T-CLONE1	100	1	2	T	78354362	0.9913
5FU-PATIENT2-T-CLONE1	100	1	2	78371499	C	0.9913
5FU-PATIENT2-T-CLONE1	101	1	2	T	81398245	0.9848
5FU-PATIENT2-T-CLONE1	101	1	2	81410026	C	0.9848
5FU-PATIENT2-T-CLONE1	103	1	2	88836529	C	0.9026
5FU-PATIENT2-T-CLONE1	103	1	2	T	88845159	0.9026
5FU-PATIENT2-T-CLONE1	104	1	2	89437548	C	0.6136
5FU-PATIENT2-T-CLONE1	104	1	2	T	89443394	0.6136
5FU-PATIENT2-T-CLONE1	105	1	2	T	92066644	0.6408
5FU-PATIENT2-T-CLONE1	105	1	2	92072873	C	0.6408
5FU-PATIENT2-T-CLONE1	106	1	2	101219749	T	0.9543
5FU-PATIENT2-T-CLONE1	106	1	2	C	101232999	0.9543
5FU-PATIENT2-T-CLONE1	107	1	2	105665280	T	1.0284
5FU-PATIENT2-T-CLONE1	107	1	2	C	105702533	1.0284
5FU-PATIENT2-T-CLONE1	108	1	2	114424721	T	1.5751
5FU-PATIENT2-T-CLONE1	108	1	2	C	114424780	1.5751
5FU-PATIENT2-T-CLONE1	109	1	2	C	120731892	0.6874
5FU-PATIENT2-T-CLONE1	109	1	2	120845606	T	0.6874
5FU-PATIENT2-T-CLONE1	110	1	2	C	133589132	1.0130
5FU-PATIENT2-T-CLONE1	110	1	2	133914117	T	1.0130
5FU-PATIENT2-T-CLONE1	111	1	2	135064116	T	1.2600
5FU-PATIENT2-T-CLONE1	111	1	2	C	135064151	1.2600
5FU-PATIENT2-T-CLONE1	112	1	2	C	148185702	1.9784
5FU-PATIENT2-T-CLONE1	112	1	2	148307716	T	1.9784
5FU-PATIENT2-T-CLONE1	113	1	2	C	186697297	1.9128
5FU-PATIENT2-T-CLONE1	113	1	2	186707140	T	1.9128
5FU-PATIENT2-T-CLONE1	114	1	2	C	186879086	0.9584
5FU-PATIENT2-T-CLONE1	114	1	2	186975709	T	0.9584
5FU-PATIENT2-T-CLONE1	115	1	2	C	187109511	0.4169
5FU-PATIENT2-T-CLONE1	115	1	2	187112977	T	0.4169
5FU-PATIENT2-T-CLONE1	116	1	2	C	187125520	0.9708
5FU-PATIENT2-T-CLONE1	116	1	2	187241389	T	0.9708
5FU-PATIENT2-T-CLONE1	117	1	2	C	194654634	0.8131
5FU-PATIENT2-T-CLONE1	117	1	2	194654669	T	0.8131
5FU-PATIENT2-T-CLONE1	118	1	2	199604551	T	1.9506
5FU-PATIENT2-T-CLONE1	118	1	2	C	199676082	1.9506
5FU-PATIENT2-T-CLONE1	119	1	2	C	208739345	0.1209
5FU-PATIENT2-T-CLONE1	119	1	2	208742507	T	0.1209
5FU-PATIENT2-T-CLONE1	45	0	12	C	38543990	84.8737
5FU-PATIENT2-T-CLONE1	45	0	1	156186234	156186656	84.8737
5FU-PATIENT2-T-CLONE1	45	0	20	T	26190511	84.8737
5FU-PATIENT2-T-CLONE1	45	1	16	C	47539250	1.3510
5FU-PATIENT2-T-CLONE1	45	1	19	36066522	36066742	1.3510
5FU-PATIENT2-T-CLONE1	45	1	2	C	133039186	1.3510
5FU-PATIENT2-T-CLONE1	45	2	16	33965593	C	0.0577
5FU-PATIENT2-T-CLONE1	45	2	2	133015438	133038258	0.0577
5FU-PATIENT2-T-CLONE1	45	2	5	C	71146942	0.0577
5FU-PATIENT2-T-CLONE1	45	4	2	230045488	T	93.4228
5FU-PATIENT2-T-CLONE1	45	4	5	71146742	T	93.4228
5FU-PATIENT2-T-CLONE1	45	5	2	C	230045488	113.1200
5FU-PATIENT2-T-CLONE1	45	6	16	47539250	T	2.3800
5FU-PATIENT2-T-CLONE1	45	7	16	T	33961326	0.0921
5FU-PATIENT2-T-CLONE1	45	7	20	T	26189203	0.0921
5FU-PATIENT2-T-CLONE1	45	8	10	C	72885161	0.2825
5FU-PATIENT2-T-CLONE1	45	8	16	T	33964164	0.2825
5FU-PATIENT2-T-CLONE1	45	9	12	38543990	T	68.4300
5FU-PATIENT2-T-CLONE1	122	1	2	C	230763978	0.7552
5FU-PATIENT2-T-CLONE1	122	1	2	230764039	T	0.7552
5FU-PATIENT2-T-CLONE1	123	1	3	T	3917557	0.9605
5FU-PATIENT2-T-CLONE1	124	1	3	T	26473614	1.2745
5FU-PATIENT2-T-CLONE1	124	1	3	26474120	C	1.2745
5FU-PATIENT2-T-CLONE1	125	1	3	T	34305778	1.0024
5FU-PATIENT2-T-CLONE1	125	1	3	34548319	C	1.0024
5FU-PATIENT2-T-CLONE1	126	1	3	T	59719441	1.0122
5FU-PATIENT2-T-CLONE1	126	1	3	59736804	C	1.0122
5FU-PATIENT2-T-CLONE1	127	1	3	T	59815945	0.9798
5FU-PATIENT2-T-CLONE1	127	1	3	59861612	C	0.9798
5FU-PATIENT2-T-CLONE1	128	0	3	64208943	C	1.1717
5FU-PATIENT2-T-CLONE1	128	0	3	60145201	64208938	1.1717
5FU-PATIENT2-T-CLONE1	128	0	3	T	60145199	1.1717
5FU-PATIENT2-T-CLONE1	129	1	3	T	60389883	1.0432
5FU-PATIENT2-T-CLONE1	129	1	3	60413187	C	1.0432
5FU-PATIENT2-T-CLONE1	130	1	3	T	60535580	1.0193
5FU-PATIENT2-T-CLONE1	130	1	3	60556759	C	1.0193
5FU-PATIENT2-T-CLONE1	131	1	3	T	60598699	0.9948
5FU-PATIENT2-T-CLONE1	131	1	3	60661347	C	0.9948
5FU-PATIENT2-T-CLONE1	132	1	3	T	60828151	1.0240
5FU-PATIENT2-T-CLONE1	132	1	3	61009460	C	1.0240
5FU-PATIENT2-T-CLONE1	133	1	3	T	60848000	0.9030
5FU-PATIENT2-T-CLONE1	133	2	3	61131721	C	1.0021
5FU-PATIENT2-T-CLONE1	272	0	20	58701901	T	1.1390
5FU-PATIENT2-T-CLONE1	272	0	20	58727001	58752598	1.1390
5FU-PATIENT2-T-CLONE1	272	0	3	96161305	T	1.1390
5FU-PATIENT2-T-CLONE1	272	1	20	36837291	T	1.1390
5FU-PATIENT2-T-CLONE1	272	1	20	36854791	36865302	1.1390
5FU-PATIENT2-T-CLONE1	136	1	3	C	105286312	0.9612
5FU-PATIENT2-T-CLONE1	136	1	3	105297586	T	0.9612
5FU-PATIENT2-T-CLONE1	137	1	3	C	106339627	0.9505
5FU-PATIENT2-T-CLONE1	137	1	3	106362608	T	0.9505
5FU-PATIENT2-T-CLONE1	138	1	3	119606673	T	0.9914
5FU-PATIENT2-T-CLONE1	138	1	3	C	119606707	0.9914
5FU-PATIENT2-T-CLONE1	139	1	3	123591773	T	0.1012
5FU-PATIENT2-T-CLONE1	139	1	5	109954660	T	0.1012
5FU-PATIENT2-T-CLONE1	139	2	3	C	123595089	0.1837
5FU-PATIENT2-T-CLONE1	139	2	20	53997976	T	0.1837
5FU-PATIENT2-T-CLONE1	140	0	3	126269668	T	0.3134
5FU-PATIENT2-T-CLONE1	140	0	3	126069630	126129340	0.3134
5FU-PATIENT2-T-CLONE1	140	0	3	C	126069413	0.3134
5FU-PATIENT2-T-CLONE1	141	1	3	C	141033714	1.9956
5FU-PATIENT2-T-CLONE1	141	1	3	141062458	T	1.9956
5FU-PATIENT2-T-CLONE1	142	1	3	C	144119405	0.8116
5FU-PATIENT2-T-CLONE1	142	1	3	144119450	T	0.8116
5FU-PATIENT2-T-CLONE1	144	1	3	147829001	T	1.1000
5FU-PATIENT2-T-CLONE1	145	1	3	C	150849442	1.1169
5FU-PATIENT2-T-CLONE1	145	1	3	150893175	T	1.1169
5FU-PATIENT2-T-CLONE1	148	1	3	153091695	T	1.1276
5FU-PATIENT2-T-CLONE1	148	1	3	C	153091762	1.1276
5FU-PATIENT2-T-CLONE1	149	1	3	160811019	T	1.1951
5FU-PATIENT2-T-CLONE1	149	1	3	C	160811078	1.1951
5FU-PATIENT2-T-CLONE1	150	1	3	C	172520165	0.9460
5FU-PATIENT2-T-CLONE1	150	1	3	172531058	T	0.9460
5FU-PATIENT2-T-CLONE1	151	0	3	C	174265496	0.9620
5FU-PATIENT2-T-CLONE1	151	0	3	174479975	174656442	0.9620
5FU-PATIENT2-T-CLONE1	151	0	3	C	174658662	0.9620
5FU-PATIENT2-T-CLONE1	153	1	3	C	174697821	0.9859
5FU-PATIENT2-T-CLONE1	153	1	3	174809359	T	0.9859
5FU-PATIENT2-T-CLONE1	154	1	3	C	175392290	1.0070
5FU-PATIENT2-T-CLONE1	154	1	3	175409769	T	1.0070
5FU-PATIENT2-T-CLONE1	155	1	3	C	189626747	0.9260
5FU-PATIENT2-T-CLONE1	155	1	3	189626785	T	0.9260
5FU-PATIENT2-T-CLONE1	156	1	4	6478188	C	1.2501
5FU-PATIENT2-T-CLONE1	156	1	4	T	6526497	1.2501
5FU-PATIENT2-T-CLONE1	157	1	4	T	18642130	1.0978
5FU-PATIENT2-T-CLONE1	157	1	4	18642688	C	1.0978
5FU-PATIENT2-T-CLONE1	158	1	4	T	21736317	0.6493
5FU-PATIENT2-T-CLONE1	158	1	4	21736502	C	0.6493
5FU-PATIENT2-T-CLONE1	159	1	4	30227001	C	1.0400
5FU-PATIENT2-T-CLONE1	160	1	4	T	30239222	0.5861
5FU-PATIENT2-T-CLONE1	160	1	4	30243338	C	0.5861
5FU-PATIENT2-T-CLONE1	161	1	4	C	77204378	0.9739
5FU-PATIENT2-T-CLONE1	161	1	4	77900739	T	0.9739
5FU-PATIENT2-T-CLONE1	162	1	4	C	91653971	0.9925
5FU-PATIENT2-T-CLONE1	162	1	4	91682810	T	0.9925
5FU-PATIENT2-T-CLONE1	163	1	4	112232357	T	1.3959
5FU-PATIENT2-T-CLONE1	163	1	4	C	112232433	1.3959
5FU-PATIENT2-T-CLONE1	164	1	4	122694460	T	0.6551
5FU-PATIENT2-T-CLONE1	164	1	4	C	122694500	0.6551
5FU-PATIENT2-T-CLONE1	165	1	4	157917449	T	0.7304
5FU-PATIENT2-T-CLONE1	165	1	4	C	157917513	0.7304
5FU-PATIENT2-T-CLONE1	166	1	4	C	158460672	0.9592
5FU-PATIENT2-T-CLONE1	166	1	4	158518156	T	0.9592
5FU-PATIENT2-T-CLONE1	167	1	4	C	162422318	0.9831
5FU-PATIENT2-T-CLONE1	167	1	4	162433616	T	0.9831
5FU-PATIENT2-T-CLONE1	168	1	4	178027444	T	0.7498
5FU-PATIENT2-T-CLONE1	168	1	4	C	178027749	0.7498
5FU-PATIENT2-T-CLONE1	169	1	4	C	179880123	1.1580
5FU-PATIENT2-T-CLONE1	169	1	4	179880950	T	1.1580
5FU-PATIENT2-T-CLONE1	170	1	4	C	185794093	1.1997
5FU-PATIENT2-T-CLONE1	170	1	4	185795829	T	1.1997
5FU-PATIENT2-T-CLONE1	171	1	5	T	4493353	1.1694
5FU-PATIENT2-T-CLONE1	171	1	5	4494462	C	1.1694
5FU-PATIENT2-T-CLONE1	172	1	5	T	11892295	0.5287
5FU-PATIENT2-T-CLONE1	172	1	5	11892333	C	0.5287
5FU-PATIENT2-T-CLONE1	173	1	5	T	18882032	0.6901
5FU-PATIENT2-T-CLONE1	173	1	5	18882142	C	0.6901
5FU-PATIENT2-T-CLONE1	174	1	5	T	22804973	0.7103
5FU-PATIENT2-T-CLONE1	174	1	5	22805007	C	0.7103
5FU-PATIENT2-T-CLONE1	175	1	5	T	26265097	0.8691
5FU-PATIENT2-T-CLONE1	175	1	5	26265207	C	0.8691
5FU-PATIENT2-T-CLONE1	176	1	5	53819928	T	1.0936
5FU-PATIENT2-T-CLONE1	176	1	5	C	53820037	1.0936
5FU-PATIENT2-T-CLONE1	177	1	5	C	59112226	1.0055
5FU-PATIENT2-T-CLONE1	177	1	5	59129269	T	1.0055
5FU-PATIENT2-T-CLONE1	178	1	5	86559757	T	0.8577
5FU-PATIENT2-T-CLONE1	178	1	5	C	86559856	0.8577
5FU-PATIENT2-T-CLONE1	179	1	5	C	88499713	1.0150
5FU-PATIENT2-T-CLONE1	179	1	5	88531303	T	1.0150
5FU-PATIENT2-T-CLONE1	180	1	5	C	96503781	0.9730
5FU-PATIENT2-T-CLONE1	180	1	5	96610351	T	0.9730
5FU-PATIENT2-T-CLONE1	181	1	5	102963267	T	0.6521
5FU-PATIENT2-T-CLONE1	181	1	5	C	102963337	0.6521
5FU-PATIENT2-T-CLONE1	182	1	5	C	106676898	0.9897
5FU-PATIENT2-T-CLONE1	182	1	5	106755089	T	0.9897
5FU-PATIENT2-T-CLONE1	183	1	5	C	110298495	1.0581
5FU-PATIENT2-T-CLONE1	183	1	5	110318289	T	1.0581
5FU-PATIENT2-T-CLONE1	184	1	5	C	119103895	0.9655
5FU-PATIENT2-T-CLONE1	184	1	5	119103974	T	0.9655
5FU-PATIENT2-T-CLONE1	185	1	5	C	127881571	0.7965
5FU-PATIENT2-T-CLONE1	185	1	5	127881609	T	0.7965
5FU-PATIENT2-T-CLONE1	186	1	5	C	130634364	1.0332
5FU-PATIENT2-T-CLONE1	186	1	5	130666634	T	1.0332
5FU-PATIENT2-T-CLONE1	187	1	5	C	136302139	1.3995
5FU-PATIENT2-T-CLONE1	187	1	5	136302910	T	1.3995
5FU-PATIENT2-T-CLONE1	188	1	5	C	138007219	0.8030
5FU-PATIENT2-T-CLONE1	188	1	5	138007703	T	0.8030
5FU-PATIENT2-T-CLONE1	189	1	5	C	164258940	1.1445
5FU-PATIENT2-T-CLONE1	189	1	5	164259021	T	1.1445
5FU-PATIENT2-T-CLONE1	190	1	5	C	170617572	0.9891
5FU-PATIENT2-T-CLONE1	190	1	5	170617772	T	0.9891
5FU-PATIENT2-T-CLONE1	191	1	5	C	173622053	0.6283
5FU-PATIENT2-T-CLONE1	191	1	5	173622133	T	0.6283
5FU-PATIENT2-T-CLONE1	192	1	5	C	175671803	1.0111
5FU-PATIENT2-T-CLONE1	192	1	5	175746650	T	1.0111
5FU-PATIENT2-T-CLONE1	193	1	5	179258094	T	0.9708
5FU-PATIENT2-T-CLONE1	193	1	5	C	179258199	0.9708
