clusterId	chainId	chainIndex	chainCount	lowerBreakendId	upperBreakendId	lowerBreakendIsStart	upperBreakendIsStart	chromosome	arm	assembled	traversedSVCount	length	ploidy	ploidyUncertainty	pseudogeneInfo
2250	0	0	2	2177	2179	true	true	20	Q	false	0	1304999	0.9315	0.1177	
2254	0	0	2	2182	2183	true	true	20	Q	false	0	1216999	1.49	0.1614	
2256	0	0	2	2185	2188	true	true	20	Q	false	0	2548999	1.335	0.1473	
2267	0	0	2	1297	1300	true	true	10	P	false	0	2364999	0.9145	0.1677	
2269	0	0	2	1301	1302	true	true	10	P	false	0	21999	5.795	0.4116	
2273	0	0	2	1307	1310	true	true	10	P	false	0	2763999	1.315	0.1674	
2284	0	0	2	1334	1337	true	true	10	Q	false	0	2354999	1.725	0.1536	
2287	0	0	2	1342	1345	true	true	10	Q	false	0	4719999	2.4734	0.1704	
2291	0	0	2	1359	1364	true	true	10	Q	false	0	3917999	0.931	0.1442	
2299	0	0	2	1375	1380	true	true	10	Q	false	0	3640999	1.175	0.1682	
2302	0	0	2	1382	1389	true	true	10	Q	false	0	4977999	2.25	0.1714	
